0	0.320047	-0.666098
0.025	-0.0873322	-0.571597
0.05	-0.529253	-0.429468
0.075	-0.934368	-0.238221
0.1	-1.29879	-0.0233034
0.125	-1.61454	0.19036
0.15	-1.88125	0.38013
0.175	-2.1009	0.527233
0.2	-2.27616	0.617999
0.225	-2.40938	0.644547
0.25	-2.50173	0.604839
0.275	-2.55243	0.502332
0.3	-2.55859	0.345438
0.325	-2.51549	0.146939
0.35	-2.4175	-0.0766691
0.375	-2.25948	-0.306008
0.4	-2.03844	-0.520042
0.425	-1.75513	-0.697827
0.45	-1.41513	-0.820749
0.475	-1.02908	-0.874966
0.5	-0.611847	-0.853582
0.525	-0.18086	-0.757979
0.55	0.246092	-0.597947
0.575	0.652991	-0.390488
0.6	1.0272	-0.157547
0.625	1.36018	0.0768509
0.65	1.64737	0.289517
0.675	1.88777	0.460649
0.7	2.08224	0.57543
0.725	2.23229	0.624973
0.75	2.33883	0.606475
0.775	2.40118	0.522867
0.8	2.41671	0.382275
0.825	2.38106	0.197368
0.85	2.28893	-0.0153486
0.875	2.13544	-0.236393
0.9	1.91785	-0.444557
0.925	1.6372	-0.618684
0.95	1.29933	-0.739942
0.975	0.91516	-0.794298
1	0.499797	-0.774689
1.025	0.0708582	-0.682367
1.05	-0.353748	-0.527006
1.075	-0.757969	-0.325493
1.1	-1.12908	-0.0996619
1.125	-1.45853	0.126627
1.15	-1.7422	0.330458
1.175	-1.97908	0.492246
1.2	-2.17012	0.597443
1.225	-2.31693	0.637448
1.25	-2.42054	0.60973
1.275	-2.48032	0.517452
1.3	-2.49364	0.368919
1.325	-2.4561	0.176925
1.35	-2.36229	-0.0419327
1.375	-2.2073	-0.268107
1.4	-1.98834	-0.480348
1.425	-1.70636	-0.657486
1.45	-1.36714	-0.780694
1.475	-0.981515	-0.835948
1.5	-0.564534	-0.816205
1.525	-0.133792	-0.722748
1.55	0.292783	-0.565302
1.575	0.699087	-0.360832
1.6	1.07245	-0.131251
1.625	1.40438	0.099464
1.65	1.69031	0.308168
1.675	1.92915	0.475111
1.7	2.12204	0.585643
1.725	2.27061	0.630994
1.75	2.37576	0.60846
1.775	2.43682	0.521069
1.8	2.45116	0.377022
1.825	2.41437	0.189048
1.85	2.32113	-0.0262906
1.875	2.16657	-0.249471
1.9	1.94798	-0.459262
1.925	1.66637	-0.634513
1.95	1.32755	-0.756416
1.975	0.942369	-0.810958
2	0.525893	-0.791099
2.025	0.0957291	-0.698113
2.05	-0.330196	-0.541705
2.075	-0.73579	-0.338809
2.1	-1.1084	-0.111289
2.125	-1.43945	0.116917
2.15	-1.72446	0.322763
2.175	-1.96254	0.486616
2.2	-2.15471	0.593881
2.225	-2.30259	0.635887
2.25	-2.40713	0.610029
2.275	-2.46765	0.519417
2.3	-2.48151	0.372325
2.325	-2.44431	0.181551
2.35	-2.35071	-0.0362903
2.375	-2.19583	-0.261637
2.4	-1.97692	-0.473231
2.425	-1.69495	-0.649896
2.45	-1.35572	-0.772799
2.475	-0.970044	-0.827912
2.5	-0.553002	-0.808186
2.525	-0.122197	-0.714898
2.55	0.304432	-0.557771
2.575	0.71077	-0.353764
2.6	1.08414	-0.124785
2.625	1.41601	0.105188
2.65	1.70181	0.313033
2.675	1.94058	0.479039
2.7	2.13336	0.588554
2.725	2.28177	0.632841
2.75	2.38674	0.609232
2.775	2.44762	0.520786
2.8	2.46175	0.375733
2.825	2.42474	0.186832
2.85	2.33127	-0.0293282
2.875	2.17647	-0.253206
2.9	1.95764	-0.463561
2.925	1.67576	-0.639236
2.95	1.33664	-0.761415
2.975	0.951106	-0.816083
3	0.53424	-0.796199
3.025	0.103649	-0.703044
3.05	-0.322728	-0.546334
3.075	-0.728785	-0.343019
3.1	-1.10185	-0.114985
3.125	-1.43338	0.113813
3.15	-1.71883	0.320295
3.175	-1.95729	0.484798
3.2	-2.14979	0.59271
3.225	-2.29795	0.63534
3.25	-2.40271	0.610067
3.275	-2.46341	0.519992
3.3	-2.47739	0.373382
3.325	-2.44026	0.183031
3.35	-2.34668	-0.0344451
3.375	-2.1918	-0.259481
3.4	-1.97286	-0.470816
3.425	-1.69086	-0.647276
3.45	-1.35157	-0.770027
3.475	-0.965834	-0.825044
3.5	-0.548725	-0.805278
3.525	-0.11785	-0.712008
3.55	0.308847	-0.554957
3.575	0.715248	-0.351087
3.6	1.08867	-0.122303
3.625	1.42057	0.107418
3.65	1.7064	0.314957
3.675	1.94518	0.480613
3.7	2.13797	0.589741
3.725	2.28636	0.633614
3.75	2.39131	0.609577
3.775	2.45214	0.520704
3.8	2.46622	0.375236
